Phylum	Class	Order	Family	Genus	Species	OTU	contaminant	Control	Mock	Sample
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Genus_Eubacterium	ASV_0071	FALSE	0.0659333104195954	0.000713959332876399	0.228535709941388
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Genus_Eubacterium	ASV_0106	FALSE	0.000964301556382712	0.000137809382062731	0.0841100956113003
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Genus_Eubacterium	ASV_0512	FALSE	0	0	0.0026312382434021
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Genus_Eubacterium	ASV_0729	FALSE	0	0	0.000558681309336315
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibacillus	Genus_Faecalibacillus	ASV_0222	FALSE	0	0	0.0210356528896087
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibacillus	Genus_Faecalibacillus	ASV_0421	FALSE	0	0	0.0029271626583756
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibacillus	Genus_Faecalibacillus	ASV_0670	FALSE	0	0	0.00037098612349157
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalicatena	Genus_Faecalicatena	ASV_0033	FALSE	0.147092168428395	0.00292142727099511	0.630129509057467
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalicatena	Genus_Faecalicatena	ASV_0220	FALSE	0	0.000275618764125462	0.0193638126709505
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Genus_Flavonifractor	ASV_0438	FALSE	0	0	0.00354039548915316
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Genus_Flavonifractor	ASV_0688	FALSE	0	0	0.000424058655037212
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Frisingicoccus	Genus_Frisingicoccus	ASV_0161	FALSE	0.0176585377396451	0.000413428146188193	0.0399476652125021
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	Genus_Gemmiger	ASV_0337	FALSE	0	0	0.0058408092670976
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	Genus_Gemmiger	ASV_0711	FALSE	0	0	0.000254314611444422
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	Genus_Gemmiger	ASV_0771	FALSE	0	0	0.000163371841872844
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Harryflintia	Genus_Harryflintia	ASV_0465	FALSE	0	0	0.00230519383348418
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Genus_Holdemanella	ASV_0102	FALSE	0.00259592375366017	0.000101994190410914	0.125178493019068
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Genus_Holdemania	ASV_0590	FALSE	0	0	0.000783584399892638
Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XIII	Ihubacter	Genus_Ihubacter	ASV_0078	FALSE	0.0456333313933927	0.000865008216998004	0.213844618197209
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0019	FALSE	0.170692124643455	0.00805830607573162	1.2008287351126
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0076	FALSE	0.0239965583714248	0.000101994190410914	0.207413552475017
