Kingdom,Phylum,Class,Order,Family,Genus,Species,Control,Mock,Sample,ASV,contam_phy,contam_harsh
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Genus_Romboutsia,0.0327896193353217,0.000808147140165426,0.107714926294334,ASV_0098,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,xylanisolvens,0.0501515896253729,0.000868015895683758,0.12265883549916,ASV_0099,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Genus_Streptococcus,0.00675011089467898,0.000119450337327753,0.119366597096373,ASV_0100,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,aureus,0.0608758432325578,2.38573124890475,0.000487631209380724,ASV_0101,TRUE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Genus_Holdemanella,0.00259592375366017,0.000101994190410914,0.125178493019068,ASV_0102,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0233853510720228,0.000101994190410914,0.102529790493836,ASV_0103,FALSE,FALSE
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,enterica,0.0864394454755831,2.20324439739971,0.000303435300590045,ASV_0104,TRUE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0118680368580066,0.000953762905350045,0.105049479255305,ASV_0105,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Genus_Eubacterium,0.000964301556382712,0.000137809382062731,0.0841100956113003,ASV_0106,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.00447040591285689,0.0014001171924051,0.123641957396837,ASV_0107,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Stomatobaculum,Genus_Stomatobaculum,0.0172759875565994,0.000137809382062731,0.0867638826257851,ASV_0108,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Genus_Paramuribaculum,0.0196622370156945,0,0.103151554296327,ASV_0109,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Genus_Enterococcus,0.00149013530428563,0.000621579196877299,0.0877470063717538,ASV_0110,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,biformis,0.00412959720322882,0,0.111714721988961,ASV_0111,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.00378780704910892,0.00132318788062966,0.1002688143234,ASV_0112,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Genus_Agathobaculum,0,0.000239803572473645,0.0773867816409838,ASV_0113,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,obesi,0.0128037363409708,0,0.0935279131330646,ASV_0114,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.00298027060857126,0.00586095544917606,0.0816254132922652,ASV_0115,FALSE,FALSE
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,pseudolongum,0,0.000650358961045828,0.0701496993791062,ASV_0117,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0.00451369341740505,0.000151026375246173,0.083014703999846,ASV_0118,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Lawsonibacter,Genus_Lawsonibacter,0.0216666153970189,0.000455684962878151,0.0775545078019542,ASV_0119,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,merdae,0.0183343299472663,0.000378126158011359,0.0868141047315989,ASV_0120,FALSE,FALSE
